Funcionario,Horas_Treinamento_Mes,Contatos_Clientes_Semana,Experiencia_Anos,Faltas_Trimestre,Satisfacao_0a10,Vendas_Mes_Seguinte
F01,13.2,101,4.4,1,6.9,50
F02,7.8,108,9.4,1,5.5,47
F03,15.0,66,4.4,4,6.5,35
F04,15.8,89,7.7,2,8.8,48
F05,4.2,86,2.7,4,7.8,23
F06,6.8,82,4.9,3,9.4,31
F07,12.5,89,2.6,2,8.6,38
F08,10.7,125,4.5,7,7.6,39
F09,11.9,78,8.0,3,9.4,43
F10,8.6,114,0.5,3,7.6,32
F11,15.5,61,6.8,2,8.2,39
F12,15.1,88,6.2,3,6.6,49
F13,12.3,98,3.7,4,7.1,35
F14,16.5,107,1.2,0,6.0,46
F15,13.9,109,5.7,1,8.4,50
F16,8.6,111,3.9,2,5.4,45
F17,13.5,88,6.2,2,8.1,43
F18,8.2,86,5.6,3,6.7,41
F19,15.5,112,10.3,2,8.6,57
F20,11.8,91,4.8,4,8.1,41
F21,11.3,69,2.4,1,9.5,38
F22,9.3,72,6.0,2,8.0,45
F23,16.9,77,6.2,1,4.8,44
F24,11.4,105,9.6,6,6.9,31
F25,10.3,98,8.0,2,5.4,50
F26,10.6,109,6.6,2,6.3,43
F27,14.1,86,9.9,3,9.1,44
F28,13.5,98,1.9,4,7.9,44
F29,13.7,108,3.6,3,6.0,36
F30,13.7,89,2.7,0,5.6,38
F31,20.6,104,4.3,2,7.0,44
F32,10.4,82,1.4,1,5.3,32
F33,10.0,88,7.4,2,6.1,42
F34,8.7,87,4.8,1,7.4,41
F35,14.5,71,1.1,0,8.6,41
F36,16.5,105,2.5,0,7.9,44
F37,11.5,86,6.4,1,3.8,32
F38,8.6,95,8.0,3,7.4,39
F39,8.7,105,11.5,3,7.1,42
F40,14.6,104,14.2,1,7.6,57
F41,15.0,108,6.7,2,9.3,52
F42,14.2,93,2.5,0,4.1,45
F43,9.3,87,0.5,2,6.2,37
F44,12.9,93,6.3,1,7.8,46
F45,12.5,61,3.1,2,4.8,35
F46,12.9,66,4.3,6,9.1,25
F47,15.5,69,3.7,4,7.5,34
F48,12.9,75,5.1,2,8.2,39
F49,14.7,103,8.7,2,6.2,53
F50,12.3,77,6.0,2,8.1,37
