Bilheteria_milhoes,Orcamento_milhoes,Nota_critica,Qtde_Atores_Famosos,Gasto_Marketing_milhoes,Pertence_Franquia
294.7,133,6.4,4,70,1
392.4,260,8.9,0,74,0
282.4,289,4.0,2,98,0
479.2,93,9.0,2,167,0
344.0,44,9.2,3,138,0
478.2,202,7.5,2,144,1
394.3,203,8.3,2,91,1
382.3,227,5.9,3,104,1
288.3,204,7.7,3,35,0
575.9,275,8.0,2,145,1
510.5,238,8.2,3,114,1
552.9,278,7.0,3,143,0
525.6,267,8.7,1,125,1
454.2,157,9.2,4,138,1
407.0,140,8.0,3,117,0
440.8,183,8.4,2,114,0
199.9,37,4.8,0,71,0
214.5,105,5.3,1,31,0
442.9,95,7.8,4,164,1
356.3,251,5.3,3,64,0
