Preco_Venda_mil_reais,Area_m2,Numero_Quartos,Distancia_Centro_km,Idade_Imovel_anos
482.6,139,4,7.8,23
640.3,158,1,5.9,26
913.7,154,4,2.0,16
460.0,118,4,8.8,15
1245.8,240,3,2.3,18
815.5,124,4,5.0,2
612.6,182,4,6.3,29
658.1,125,4,3.9,23
477.3,140,1,4.8,2
1000.9,248,1,9.0,26
313.6,87,2,5.1,29
606.6,177,1,5.9,32
358.4,135,3,9.7,17
962.2,185,4,3.5,6
787.4,201,3,9.1,13
573.6,116,2,4.3,9
705.2,185,3,3.8,31
743.6,186,3,8.9,28
637.3,140,4,1.6,16
211.3,74,1,8.8,4
730.4,174,4,8.4,7
275.7,60,1,9.1,10
949.9,228,3,1.5,24
1011.7,220,2,3.1,16
